chapter_number,volume,name,romanized_title,viz_title,pages,date,episodes,,,,
591,60,You Sure That's Alright?,Sore de Iinoka,Are You Sure About That?,19,12/07/2010,"Episode 507 (p. 2-16), Episode 510 (p. 17-19)",,,,
592,60,Yell,Eru,Cheer,19,17/07/2010,"Episode 509 (p. 2-7, 16-19), Episode 508 (p. 8-15)",,,,
593,60,NEWS,Nyusu,News,19,26/07/2010,"Episode 510 (p. 2-11), Episode 512 (p. 12-19)",,,,
594,60,Message,Messeji,Message,19,02/08/2010,"Episode 511 (p. 2-14, 18-19), Episode 512 (p. 15-17)",,,,
595,61,Oath,Sensei,The Pledge,19,09/08/2010,"Episode 513 (p. 3-15), Episode 514 (p. 16-19)",,,,
596,61,SPECTRUM,Supekutoru,Spectrum,19,23/08/2010,"Episode 514 (p. 2-5, 12-15), Episode 515 (p. 6-11, 16-19)",,,,
597,61,3D2Y,Suri-Di Tsu-Wai,3D2Y,19,30/08/2010,"Episode 515 (p. 2-7), Episode 516 (p. 8-19)",,,,
598,61,2 Years Later,Ninen-go,Two Years Later,24,04/10/2010,"Episode 517 (p. 1-3, 6-16, 19, 23-24), Episode 518 (p. 17-18, 20-22)",,,,
599,61,9 Pirates,Kyunin no Kaizoku,Nine Pirates,19,09/10/2010,"Episode 518 (p. 2-7, 16-19), Episode 519 (p. 8-15)",,,,
600,61,The Island Of Restarting,Saishuppatsu no Shima,Island of New Beginnings,19,18/10/2010,"Episode 519 (p. 2-7), Episode 520 (p. 8-19)",,,,
601,61,Romance Dawn For the New World:The Dawn of an Adventureinto a New World,Romansu Don fo za nyu warudo: Atarashii Sekai e no Boken no Yoake,Romance Dawn For The New World,19,25/10/2010,Episode 521 (p. 2-19),,,,
602,61,Rudder Straight Down!!,Shimokaji Ippai!!,Downward Ho!,17,01/11/2010,Episode 522 (p. 2-17),,,,
603,61,Keep It In Your Heart,Kokoro ni Tometeoke,Keep That In Mind,17,08/11/2010,Episode 523 (p. 2-17),,,,
604,62,Into the Depths,Shinso e,To The Deep Sea,19,15/11/2010,"Episode 523 (p. 3-5), Episode 524 (p. 6-13, 15-19)",,,,
605,62,The Kraken and the Pirates,Kuraken to Kaizoku,The Kraken and the Pirates,19,29/11/2010,"Episode 524 (p. 2-11), Episode 525 (p. 7, 11-19)",,,,
606,62,Adventure in the Ocean Depths,Shinkai no Boken,Deep Sea Adventure,17,06/12/2010,"Episode 525 (p. 2-12), Episode 526 (p. 12-17)",,,,
607,62,"10,000 Meters Under the Sea",Kaitei Ichiman Metoru,"30,000 Feet Under the Sea",17,13/12/2010,"Episode 526 (p. 2-15), Episode 527 (p. 14-17)",,,,
608,62,Undersea Paradise,Kaitei no Rakuen,Underwater Paradise,17,20/12/2010,Episode 527 (p. 2-17),,,,
609,62,Adventure on Fish-Man Island,Gyojinto no Boken,Adventure On Fish-Man Island,19,04/01/2011,"Hands Up! (p. 1-2), Episode 528 (p. 3-19)",,,,
610,62,Fortune-Teller Madam Shyarly,Uranaishi Madamu Shari,"Madam Sharley, Fortune-Teller",15,17/01/2011,Episode 529 (p. 2-15),,,,
611,62,Hody Jones,Hodi Jonzu,Hody Jones,17,24/01/2011,Episode 530 (p. 2-17),,,,
612,62,Brought by the Shark They Saved,Tasuketa Same ni Tsurerarete,Taken by the Shark They Saved,19,31/01/2011,"Hands Up! (p. 1-2), Episode 531 (p. 3-19)",,,,
613,62,The Mermaid Princessin Hard-Shell Tower,Kokakuto no Ningyo Hime,Mermaid Princess of Shell Tower,17,07/02/2011,Episode 532 (p. 2-17),,,,
614,62,What's Done is Done,Yatchimatta Mon wa Shogane,Too Late Now,17,14/02/2011,"Episode 533 (p. 2-9, 11-17), Episode 534 (p. 10)",,,,
615,63,Curse of Mato Mato,Mato Mato no Noroi,Mark-Mark Curse,17,21/02/2011,Episode 534 (p. 2-17),,,,
616,63,Anniversary of Revenge,Fukushu no Kinenbi,Anniversary for Revenge,17,28/02/2011,Episode 535 (p. 2-17),,,,
617,63,Major Incident on Coral Hill,Sangogaoka de Daijiken,Incident at Coral Hill,17,14/03/2011,Episode 536 (p. 2-17),,,,
618,63,Proposal,Puropozu,Proposal,19,19/03/2011,Episode 537 (p. 3-19),,,,
619,63,At the Sea Forest,Umi no Mori nite,At the Forest of the Sea,17,04/04/2011,Episode 538 (p. 2-17),,,,
620,63,The Longed-For Amusement Park,Akogare no Yuenchi,The Wonderful Amusement Park,17,11/04/2011,"Episode 539 (p. 2-16), Episode 541 (p. 17)",,,,
621,63,Otohime and Tiger,Otohime to Taiga,Otohime and Tiger,17,18/04/2011,"Episode 540 (p. 2-16), Episode 541 (p. 17)",,,,
622,63,The Sun Pirates,Taiyo no Kaizoku-dan,The Sun Pirates,19,25/04/2011,"Hands Up! (p. 1-2), Episode 540 (p. 3-4), Episode 541 (p. 5-19)",,,,
623,63,Pirate Fisher Tiger,Kaizoku Fissha Taiga,Fisher Tiger the Pirate,19,09/05/2011,"Episode 543 (p. 2-18), Episode 544 (p. 19)",,,,
624,63,Queen Otohime,Otohime Ohi,Queen Otohime,17,16/05/2011,"Episode 544 (p. 2-16), Episode 545 (p. 17)",,,,
625,63,Uninherited Will,Uketsuganai Ishi,Uninherited Will,19,23/05/2011,"Episode 545 (p. 2-18), Episode 546 (p. 18-19)",,,,
626,63,The Three Neptune Brothers,Nepuchun San Kyodai,Neptune Brothers,19,30/05/2011,Episode 546 (p. 2-19),,,,
627,64,You Have My Gratitude,Katajikenai,Thank You,19,06/06/2011,Episode 547 (p. 2-19),,,,
628,64,Major Cleanup,Osoji,Spring Cleaning,19,20/06/2011,Episode 548 (p. 3-19),,,,
629,64,Former Warlord in the Way,Tachifusagaru Moto Shichibukai,Former Warlord in the Way,19,27/06/2011,"Episode 549 (p. 2-14, 18-19), Episode 550 (p. 15-17)",,,,
630,64,Lashing Out,Abaredasu,Getting Violent,19,04/07/2011,Episode 550 (p. 2-19),,,,
631,64,Gyoncorde Plaza,Gyonkorudo Hiroba,Conchcorde Plaza,19,11/07/2011,Episode 551 (p. 2-19),,,,
632,64,I Knew it All Along,Shitteta,I Knew,19,16/07/2011,Episode 552 (p. 2-19),,,,
633,64,Friend or Foe,Teki ka Mikata ka,Friend or Foe,19,01/08/2011,Episode 553 (p. 2-19),,,,
634,64,"100,000 vs. 10",Juman Basasu Ju,"100,000 vs. 10",19,08/08/2011,"Episode 554 (p. 3-18), Episode 556 (p. 14, 19), Episode 555 (p. 18-19)",,,,
635,64,So Disgusting It Makes Me Fly,Sora o Tobu Hodo Ozamashi,So Scared I Ran Up to the Sky,19,22/08/2011,"Episode 555 (p. 2-4, 7-12), Episode 556 (p. 5-6, 12-19)",,,,
636,64,The General From the Future Land,Miraikoku kara Kita Shogun,General from Futureland,19,29/08/2011,"Episode 556 (p. 2), Episode 557 (p. 3-19), Episode 558 (p. 19)",,,,
637,65,The Ancient Ark,Inishie no Hakobune,The Ancient Ark,19,05/09/2011,Episode 558 (p. 2-19),,,,
638,65,Runawayhoshi,Nigehoshi,Escape-Hoshi,19,12/09/2011,Episode 559 (p. 2-19),,,,
639,65,I'll Protect Everything,Zenbu Mamoru,Protect Everything,19,17/09/2011,Episode 560 (p. 2-19),,,,
640,65,Right Above Fish-Man Island,Gyojinto Chokujo,Above Fish-Man Island,19,26/09/2011,Episode 561 (p. 2-19),,,,
641,65,What Are You?,Omae wa Nanda,What Are You?,19,08/10/2011,Episode 562 (p. 2-19),,,,
642,65,Complete Loss of Face,Menmoku nado Marutsubure,Lost All Face,19,17/10/2011,"Episode 563 (p. 4-15), Episode 564 (p. 15-19)",,,,
643,65,Phantom,Fantomu,Phantom,19,24/10/2011,"Episode 562 (p. 18), Episode 563 (p. 2-5, 12-19), Episode 565 (p. 6-11)",,,,
644,65,To Zero,Zero ni,To Nothing,19,31/10/2011,"Episode 563 (p. 3), Episode 564 (p. 2-18), Episode 565 (p. 18-19)",,,,
645,65,Death is Also Revenge,Shi mo Mata Fukushu,Death Is Another Form of Revenge,19,07/11/2011,"Episode 565 (p. 2-4, 13-19), Episode 566 (p. 5, 8-13), Episode 567 (p. 5-8)",,,,
646,65,Frog,Kaeru,Frog,19,21/11/2011,Episode 566 (p. 2-19),,,,
647,66,"Stop, Noah!",Tomare Noa,"Stop, Noah",19,28/11/2011,Episode 567 (p. 2-19),,,,
648,66,The Path Towards the Sun,Taiyo e to Tsuzuku Michi,The Road Toward the Sun,19,05/12/2011,Episode 568 (p. 2-19),,,,
649,66,Dance of Sea Breams and Flounders,Tai ya Hirame no Maiodori,The Dance of Breams and Plaices,19,12/12/2011,Episode 569 (p. 2-19),,,,
650,66,Two Changes You Need to Know,Shitteokubeki Futatsu no Henka,Two Changes to Be Aware Of,17,19/12/2011,Episode 570 (p. 2-17),,,,
651,66,The Voice From the New World,Shin Sekai kara no Koe,A Voice From the New World,19,04/01/2012,Episode 571 (p. 3-19),,,,
652,66,Grim Premonitions,Zento Tanan no Yokan,A Premonition of Stormy Seas,17,16/01/2012,Episode 572 (p. 2-17),,,,
653,66,The Hero's Hat,Hiro no Boshi,The Hero Hat,19,23/01/2012,Episode 573 (p. 2-19),,,,
654,66,Gam,Gamu (Shogun),A Gam of Whales,19,30/01/2012,Episode 574 (p. 2-19),,,,
655,66,Punk Hazard,Panku Hazado,Punk Hazard,19,06/02/2012,"Episode 574 (p. 2), Episode 579 (p. 2-19), Episode 580 (p. 19)",,,,
656,66,Adventure on the Burning Island,Moeru Shima no Boken,Adventure on the Burning Island,19,13/02/2012,"Episode 580 (p. 2-17), Episode 581 (p. 18-19)",,,,
657,67,Severed Head,Namakubi,Severed Head,17,20/02/2012,"Episode 581 (p. 2-10), Episode 582 (p. 11-17)",,,,
658,67,Biscuits Room,Bisuketto Rumu,The Biscuits Room,19,05/03/2012,"Episode 581 (p. 13), Episode 582 (p. 12-19), Episode 583 (p. 2-11)",,,,
659,67,About My Torso,Dotai no Hanashi,About My Torso,19,12/03/2012,"Episode 583 (p. 5-9, 13), Episode 584 (p. 2-4, 10-19)",,,,
660,67,"Trafalgar Law, Warlord of the Sea","""Oka Shichibukai"" Torafaruga Ro","Trafalgar Law, Warlord of the Sea",19,19/03/2012,Episode 585 (p. 3-19),,,,
661,67,The Lake of Bandits,Oihagi no Deru Mizuumi,Lakeside Bandits,19,26/03/2012,Episode 586 (p. 2-19),,,,
662,67,Warlord Law Vs. Vice Admiral Smoker,Shichibukai Ro Basasu Sumoka Chujo,Warlord Law Vs. Vice Admiral Smoker,19,02/04/2012,"Episode 587 (p. 2-19), Episode 588 (p. 19)",,,,
663,67,CC,Shi-Shi,CC,19,16/04/2012,"Episode 588 (p. 2-8, 10-19), Episode 587 (p. 9-10)",,,,
664,67,Master Caesar Clown,Masuta Shiza Kuraun,Master Caesar Clown,19,23/04/2012,Episode 589 (p. 3-19),,,,
665,67,CANDY,Kyandi,Candy,17,07/05/2012,Episode 591 (p. 2-17),,,,
666,67,Yeti Cool Brothers,Ieti Kuru Burazazu,Yeti Cool Brothers,17,14/05/2012,Episode 592 (p. 2-17),,,,
667,67,COOL FIGHT,Kuru Faito,Cool Fight,19,21/05/2012,Episode 593 (p. 2-19),,,,
668,68,Pirate Alliance,Kaizoku Domei,Pirate Alliance,19,28/05/2012,Episode 594 (p. 2-19),,,,
669,68,The Operation Begins,Sakusen Kaishi,Commence Operation,17,04/06/2012,Episode 595 (p. 2-17),,,,
670,68,Blizzard With a Chance of Slime,Fubuki Tokidoki Suraimu,Blizzard With a Chance of Slime,17,11/06/2012,Episode 596 (p. 2-17),,,,
671,68,Gasu Gasu no Mi,Gasu Gasu no Mi,Gas-Gas Fruit,17,18/06/2012,Episode 597 (p. 2-17),,,,
672,68,My Name Is Kin'emon!!,Sessha!! Na o Kin'emon to Mosu!!,My Name Is Kin'emon!!,19,02/07/2012,"Episode 597 (p. 6), Episode 598 (p. 2-19)",,,,
673,68,Vergo and Joker,Verugo to Joka,Vergo and Joker,19,09/07/2012,Episode 599 (p. 2-19),,,,
674,68,Spectators,Bokansha-tachi,The Observers,17,14/07/2012,Episode 600 (p. 2-17),,,,
675,68,Its Name is 'Shinokuni',Sono Na mo 'Shinokuni',I Call It Land of the Dead,19,30/07/2012,Episode 601 (p. 2-19),,,,
676,68,The Perfected Weapon of Mass Destruction,Kanzen naru Satsuriku Heiki,The Perfect Weapon of Mass Murder,19,06/08/2012,"Hands Up! (p. 1-2), Episode 602 (p. 3-19)",,,,
677,68,COUNTER HAZARD!!,Kaunta Hazado!!,Counter Hazard!!,19,20/08/2012,Episode 603 (p. 2-19),,,,
678,68,The Lobby of Laboratory Building A,Kenkyujo-nai E-To Robi,Lobby of Laboratory Building A,17,27/08/2012,Episode 604 (p. 2-17),,,,
679,69,The Spirit of G-5,Kokoroiki Ji-Faibu,The G-5 Spirit,19,03/09/2012,"Episode 604 (p. 2-4), Episode 605 (p. 4-19)",,,,
680,69,Marine G-5 Base Leader: Demon Bamboo Vergo,"Kaigun Ji-Faibu Kichicho ""Kichiku no Verugo""",G-5 Commander Vergo the Bamboo Demon,19,10/09/2012,Episode 606 (p. 2-19),,,,
681,69,Luffy vs. Master,Rufi Basasu Masuta,Luffy vs. Master,19,15/09/2012,Episode 607 (p. 2-19),,,,
682,69,Mastermind,Kuromaku,Puppet Master,19,24/09/2012,Episode 608 (p. 2-19),,,,
683,69,An Icy Woman,Kori no yo na On'na,An Icy Woman,19,06/10/2012,Episode 609 (p. 2-19),,,,
684,69,"Stop It, Vegapunk",Yamerunda Begapanku,"Don't Do It, Vegapunk",19,15/10/2012,Episode 610 (p. 2-19),,,,
685,69,My Name is Momonosuke!!,"Momonosuke, Sessha no Na ni Gozaru!!",My Name is Momonosuke,19,22/10/2012,Episode 611 (p. 3-19),,,,
686,69,The Snow Woman in the Biscuits Room,Bisuketto Rumu no Yuki-Onna,The Snow-Woman in the Biscuits Room,19,29/10/2012,Episode 612 (p. 2-19),,,,
687,69,Wild Animal,Moju,Wild Beast,19,05/11/2012,Episode 613 (p. 2-19),,,,
688,69,Mocha,Mocha,Mocha,19,12/11/2012,Episode 614 (p. 2-19),,,,
689,69,A Seemingly Non-Existent Island,Nai Yo de Aru Shima,The Island That's There but Isn't There,19,26/11/2012,Episode 615 (p. 2-19),,,,
690,69,SAD,Esu-E-Di,S.A.D.,19,03/12/2012,Episode 616 (p. 2-19),,,,
691,70,The King of the Land of Death,Shi no Kuni no O,King of the Land of the Dead,21,10/12/2012,Episode 617 (p. 5-21),,,,
692,70,The Assassins from Dressrosa,Doresuroza kara Kita Shikaku,Assassins from Dressrosa,19,17/12/2012,"Episode 617 (p. 3-6), Episode 618 (p. 6-19)",,,,
693,70,Die for Me,Shinde kure,Die for Me,17,22/12/2012,"Episode 616 (p. 1-2), Episode 619 (p. 3-17)",,,,
694,70,The Most Dangerous Man,Mottomo Kiken na Otoko,The Most Dangerous Man,17,04/01/2013,"Episode 619 (p. 6, 10-11), Episode 620 (p. 2-17)",,,,
695,70,Leave It to Me!!!,Makasero!!!,Leave It to Us!!!,19,21/01/2013,Episode 621 (p. 2-19),,,,
696,70,Community of Interests,Rigai no Itchi,Alignment of Interests,19,28/01/2013,Episode 622 (p. 2-19),,,,
697,70,Deal,Torihiki,A Deal,19,04/02/2013,Episode 623 (p. 2-19),,,,
698,70,Doflamingo Appears,Dofuramingo Arawaru,Enter Doflamingo,19,09/02/2013,"Episode 624 (p. 2-14, 18-19), Episode 625 (p. 15-17)",,,,
699,70,Morning Paper,Chokan,Morning Edition,19,25/02/2013,"Episode 625 (p. 3-14), Episode 626 (p. 14-15), Episode 628 (p. 15-19)",,,,
700,70,His Own Pace,Yatsu no Pesu,His Momentum,19,04/03/2013,"Episode 628 (p. 4), Episode 629 (p. 2-19)",,,,
701,71,"Adventure in the Country of Love, Passion, and Toys",Ai to Jonetsu to Omocha no Kuni no Boken,"Adventure in the Land of Love, Passion, and Toys",19,11/03/2013,"Episode 630 (p. 2-16), Episode 631 (p. 16-19)",,,,
702,71,Corrida Colosseum,Korida Koroshiamu,Corrida Coliseum,15,25/03/2013,"Episode 631 (p. 2-12, 15), Episode 632 (p. 12-15)",,,,
703,71,Waiting Room,Hikaeshitsu,Waiting Room,19,01/04/2013,"Episode 632 (p. 3-15), Episode 633 (p. 15-19)",,,,
704,71,Lucy and the Statue of Kyros,Rushi to Kyurosu no Zo,Lucy and the Statue of Kyros,19,08/04/2013,"Episode 633 (p. 2-10), Episode 634 (p. 10-19)",,,,
705,71,Maynard the Pursuer,Tsuigeki no Meinado,Maynard the Pursuer,19,15/04/2013,"Episode 634 (p. 2-7), Episode 635 (p. 8-19)",,,,
706,71,I Won't Laugh at You,Omae o Warawanai,I Ain't Gonna Laugh at Ya,15,22/04/2013,"Episode 634 (p. 6-7), Episode 635 (p. 2-3, 7-8), Episode 636 (p. 2-5, 9, 12-15), Episode 642 (p. 10), Episode 654 (p. 11)",,,,
707,71,B Block,Bi Burokku,Block B,17,27/04/2013,"Episode 636 (p. 3-8, 15-17), Episode 637 (p. 9-15)",,,,
708,71,Colosseum of Rascals,Kusemono-tachi no Koroshiamu,Coliseum of Scoundrels,15,13/05/2013,Episode 637 (p. 2-15),,,,
709,71,King Punch!!,Kingu Panchi!!,King Punch!!,19,20/05/2013,Episode 638 (p. 2-19),,,,
710,71,To Green Bit,Gurin Bitto e,To Greenbit,19,10/06/2013,"Episode 639 (p. 3-13), Episode 640 (p. 13-19)",,,,
711,71,Adventure in the Land of Dwarves,Kobito no Kuni no Boken,Adventure in the Land of the Little People,19,17/06/2013,"Episode 640 (p. 10-14), Episode 641 (p. 2-9, 14-18), Episode 642 (p. 18-19)",,,,
712,72,Violet,Vaioretto,Violet,19,01/07/2013,"Episode 640 (p. 2-7), Episode 641 (p. 7-9), Episode 642 (p. 10-19)",,,,
713,72,Usoland,Usorando,Usoland,19,08/07/2013,Episode 643 (p. 2-19),,,,
714,72,Lucy and Ucy,Rushi to Ushi,Lucy and Moocy,19,13/07/2013,"Episode 643 (p. 12-13), Episode 644 (p. 2-19)",,,,
715,72,Closely Contested C Block,Gekisen-ku Shi Burokku,The Battleground of Block C,19,22/07/2013,Episode 645 (p. 2-19),,,,
716,72,Don Chinjao,Don Chinjao,Don Chin Jao,19,05/08/2013,Episode 646 (p. 2-19),,,,
717,72,The Forgotten of Dressrosa,Doresuroza no Wasuremono,Dressrosa's Forgotten,19,12/08/2013,Episode 647 (p. 3-19),,,,
718,72,The Riku Royal Army in the Flower Fields,Ohanabatake no Riku O Gun,Riku Royal Army at the Flower Field,19,26/08/2013,"Episode 648 (p. 2-18), Episode 649 (p. 18-19)",,,,
719,72,Open Chinjao,Hirake Chinjao,"Open, Chin Jao",19,02/09/2013,Episode 649 (p. 2-19),,,,
720,72,Prisoner Gladiators,Shujin Kentoshi,Prison-Gladiators,19,09/09/2013,Episode 650 (p. 2-19),,,,
721,72,Rebecca and Soldier-san,Rebekka to Heitai-san,Rebecca and the Soldier,19,14/09/2013,Episode 651 (p. 2-19),,,,
722,73,Royal Bloodlines,Ozoku no Ketto,Royal Bloodlines,19,30/09/2013,"Episode 652 (p. 2-13), Episode 653 (p. 14-19)",,,,
723,73,Change of Plans,Henko Sakusen,Change of Plans,19,07/10/2013,"Episode 653 (p. 2-7), Episode 654 (p. 8-19)",,,,
724,73,Law's Strategy,Ro no Sakusen,Law's Plan,19,12/10/2013,Episode 655 (p. 3-19),,,,
725,73,The Undefeated Woman,Muhai no Onna,The Undefeated Woman,17,21/10/2013,"Episode 656 (p. 2-13), Episode 657 (p. 14-17)",,,,
726,73,The Riku Family,Riku Ichizoku,The Riku Family,19,02/11/2013,"Episode 648 (p. 15), Episode 657 (p. 12-13), Episode 658 (p. 3-11, 14-19)",,,,
727,73,The Lurking Hero,Machibuseru Hiro,The Hero's Ambush,19,11/11/2013,"Episode 657 (p. 2), Episode 659 (p. 3-19)",,,,
728,73,The Number of Tragedies,Higeki no Kazu,The Number of Tragedies,19,18/11/2013,"Episode 660 (p. 2-19), Episode 661 (p. 19)",,,,
729,73,Warlord Doflamingo vs. Warlord Law,Shichibukai Dofuramingo Basasu Shichibukai Ro,Warlord Doflamingo vs. Warlord Law,17,25/11/2013,Episode 661 (p. 2-17),,,,
730,73,3 Cards,San-mai no Kado,Three Cards,19,09/12/2013,Episode 662 (p. 2-19),,,,
731,73,Operation Dressrosa SOP,Doresuroza Esu-O-Pi Sakusen,Operation Dressrosa S.O.P.,19,16/12/2013,"Episode 657 (p. 15), Episode 663 (p. 2-19)",,,,
732,74,The Underground World,Chika no Sekai,An Underground World,19,21/12/2013,Episode 664 (p. 2-19),,,,
733,74,What Soldier-san Wants,Heitai-san no Hoshii Mono,What the Soldier Wants,19,04/01/2014,Episode 665 (p. 3-19),,,,
734,74,The Kamaitachi of Rommel,Ronmeru no Kamaitachi,The Slicing Winds of Rommel,19,20/01/2014,Episode 666 (p. 2-19),,,,
735,74,Fujitora's Intention,Fujitora no Omowaku,Fujitora's Plan,19,27/01/2014,Episode 667 (p. 2-19),,,,
736,74,Executive Officer Diamante,Saiko Kanbu Diamante,Supreme Officer Diamante,19,03/02/2014,"Episode 668 (p. 2-15), Episode 670 (p. 16-17), Episode 669 (p. 18-19)",,,,
737,74,The Officers' Tower,Kanbu-to,Officer's Tower,19,10/02/2014,"Episode 669 (p. 2-3, 12-19), Episode 670 (p. 4-11)",,,,
738,74,Trebol Army Special Officer Sugar,Toreboru-gun Tokubetsu Kanbu Shuga,"Trebol Army, Special Officer Sugar",19,24/02/2014,"Episode 670 (p. 2-3), Episode 671 (p. 4-19)",,,,
739,74,Commander,Taicho,Captain,19,03/03/2014,"Episode 671 (p. 8), Episode 672 (p. 2-19)",,,,
740,74,It's Up to You!!!,Tanomu!!!,It's in Your Hands!!!,19,10/03/2014,"Episode 672 (p. 2), Episode 673 (p. 3-16, 18), Episode 674 (p. 17-19)",,,,
741,74,Liar Usoland,Usotsuki Usorando,Usoland the Liar,19,17/03/2014,"Episode 674 (p. 3-13), Episode 675 (p. 14-19)",,,,
742,74,I'll Always Be By Your Side,Itsudemo Kimi no Soba ni Iru,Ever at Your Side,19,31/03/2014,"Episode 675 (p. 2-8), Episode 676 (p. 8-19)",,,,
743,75,Dressrosa in Turmoil,Gekishin no Doresuroza,Dressrosa Trembles,19,07/04/2014,"Episode 677 (p. 2-16), Episode 678 (p. 16-19)",,,,
744,75,The Revolutionary Army Chief of Staff,Kakumei-gun Sanbo Socho,Revolutionary Army Chief of Staff,19,14/04/2014,"Episode 678 (p. 2-11), Episode 679 (p. 12-19)",,,,
745,75,Birdcage,Torikago,The Birdcage,19,28/04/2014,"Episode 679 (p. 4), Episode 680 (p. 3, 5-19)",,,,
746,75,Stars,Hoshi,Stars,19,12/05/2014,"Episode 681 (p. 2-17), Episode 682 (p. 17-19)",,,,
747,75,Executive Officer Pica,Saiko Kanbu Pika,Supreme Officer Pica,19,19/05/2014,"Episode 681 (p. 11), Episode 682 (p. 2-7, 11-16), Episode 683 (p. 7-10, 16-19)",,,,
748,75,My Repayment,Ore no Ongaeshi,Repaying the Debt,17,26/05/2014,"Episode 683 (p. 2-5), Episode 684 (p. 6-17)",,,,
749,75,March Forward!! Army of Rascals,Susume!! Kusemono Gundan,"Onward, Gallery of Rogues!!",17,02/06/2014,"Episode 685 (p. 2-15), Episode 686 (p. 15-17)",,,,
750,75,The State of the War,Senkyoku,Flashpoints,19,23/06/2014,"Episode 685 (p. 8), Episode 686 (p. 3-14), Episode 687 (p. 15-19)",,,,
751,75,Sabo vs. Admiral Fujitora,Sabo Basasu Taisho Fujitora,Sabo vs. Admiral Fujitora,17,30/06/2014,"Episode 687 (p. 2-9), Episode 688 (p. 10-17)",,,,
752,75,Palm,Tenohira,Palm,17,07/07/2014,"Episode 688 (p. 7, 12-15), Episode 689 (p. 2-11, 15-17), Episode 690 (p. 16)",,,,
753,76,War,Ikusa,Battle,17,19/07/2014,"Episode 690 (p. 2-15), Episode 691 (p. 16-17)",,,,
754,76,Pleased to Make Your Acquaintance,Omishirioki o,Making Acquaintance,17,28/07/2014,"Episode 691 (p. 2-11), Episode 692 (p. 12-17)",,,,
755,76,World of Men,Otoko no Sekai,A Man's World,17,04/08/2014,"Episode 691 (p. 2), Episode 692 (p. 3-8), Episode 693 (p. 8-17)",,,,
756,76,The Fourth Level,Yondanme,The Fourth Step,19,11/08/2014,"Episode 693 (p. 3-5), Episode 694 (p. 6-17), Episode 695 (p. 18-19)",,,,
757,76,Trump Card,Kirifuda,Trump Card,17,25/08/2014,"Episode 695 (p. 2-11), Episode 696 (p. 12-17)",,,,
758,76,Leave It and Go Ahead,Kamawazu Susume,Just Keep Going,17,01/09/2014,"Episode 694 (p. 6-7), Episode 696 (p. 2-6), Episode 697 (p. 8-17)",,,,
759,76,Secret Plan,Hisaku,Secret Plan,17,08/09/2014,"Episode 697 (p. 2), Episode 698 (p. 2-17)",,,,
760,76,The Same Bet,Onaji Kake,The Same Bet,13,13/09/2014,Episode 699 (p. 2-13),,,,
761,76,Ope Ope no Mi,Ope Ope no Mi,The Op-Op Fruit,15,22/09/2014,Episode 700 (p. 2-15),,,,
762,76,The White City,Shiroi Machi,The White Town,17,06/10/2014,Episode 701 (p. 2-17),,,,
763,76,Humanity Declaration,Ningen Sengen,Declaration of Humanity,17,11/10/2014,Episode 702 (p. 2-17),,,,
764,77,White Monster,Howaito Monsuta,White Monster,19,20/10/2014,"Episode 703 (p. 2-19), Episode 704 (p. 19)",,,,
765,77,The Island of Fate: Minion,Unmei no Shima Minion,"Minion, the Isle of Fate",17,27/10/2014,Episode 704 (p. 2-17),,,,
766,77,Smile,Sumairu,Smile,17,10/11/2014,Episode 705 (p. 2-17),,,,
767,77,Cora-san,Kora-san,Cora,17,17/11/2014,Episode 706 (p. 2-17),,,,
768,77,The Trigger on That Day,Ano Hi no Hikigane,The Trigger That Day,15,22/11/2014,Episode 707 (p. 2-15),,,,
769,77,Pirate Bellamy,Kaizoku Berami,Bellamy The Pirate,17,01/12/2014,"Episode 708 (p. 2-11), Episode 709 (p. 11-17), Episode 710 (p. 17), Episode 711 (p. 17)",,,,
770,77,The Spear of Elbaf,Erubafu no Yari,The Spear of Elbaph,17,15/12/2014,"Episode 708 (p. 4-9), Episode 709 (p. 9-17), Episode 711 (p. 2-3)",,,,
771,77,Happo Navy Don Sai,Happo Suigun Don Sai,"Sai, Don of the Happosui Army",19,22/12/2014,"Episode 710 (p. 5-19), Episode 711 (p. 2-4)",,,,
772,77,Cabbage & Lomeo,Kyabetsu ando Romeo,Cabbage & Lomeo,17,05/01/2015,"Episode 711 (p. 2-8), Episode 712 (p. 8-17)",,,,
773,77,Half and Half,Hafu ando Hafu,Half 'n Half,19,19/01/2015,"Episode 712 (p. 2-5), Episode 713 (p. 6-19)",,,,
774,77,Tontatta Tribe Warrior Chief Leo,Tontatta-zoku Senshi-cho Reo,"Leo, Captain of the Tontatta Warriors",15,26/01/2015,Episode 714 (p. 2-15),,,,
775,77,"To Russian, With Love",Rushian ni Ai o Komete,To Russian With Love,19,02/02/2015,"Episode 715 (p. 3-17), Episode 716 (p. 17-19)",,,,
776,78,The Hero of the Colosseum,Koroshiamu no Eiyu,Hero of the Colosseum,19,16/02/2015,"Episode 716 (p. 2-14), Episode 717 (p. 14-19)",,,,
777,78,Zoro vs. Pica,Zoro Basasu Pika,Zolo vs. Pica,19,23/02/2015,"Episode 717 (p. 2-9), Episode 718 (p. 10-19)",,,,
778,78,Tactics No. 5,Takutikusu Nanba Faibu,Tactics No. 5,19,02/03/2015,"Episode 718 (p. 2-4), Episode 719 (p. 5-19)",,,,
